2018-06-22 09:47:42.130 [main] INFO  com.dcits.patchtools.svn.TestBase - interface java.util.Map
2018-06-22 09:48:00.572 [main] INFO  c.dcits.patchtools.svn.service.impl.SvnServiceImpl - 从SVN服务端获取日志记录...
2018-06-22 09:48:01.164 [main] INFO  com.dcits.patchtools.svn.dao.SvnDao - svn: E180001: Unable to open repository 'file:///D:/MyWorkSpace/chongqing/svn_repo'
svn: E180001: Unable to connect to a repository at URL 'file:///D:/MyWorkSpace/chongqing/svn_repo'
svn: E180001: Unable to open repository 'file:///D:/MyWorkSpace/chongqing/svn_repo'
2018-06-22 09:48:01.164 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成增量清单...
2018-06-22 09:48:01.193 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - nullpatchInfoFile\20180622_0-E_patchInfo.xml
2018-06-22 09:48:01.193 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - 增量清单生成失败！
2018-06-22 09:48:01.194 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成送测清单...
2018-06-22 09:48:01.195 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - nullpatchInfoFile\送测清单_0-E_20180622094801_patchInfo.xlsx
2018-06-22 09:48:01.741 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - 送测清单生成失败！
2018-06-22 09:52:07.276 [main] INFO  c.dcits.patchtools.svn.service.impl.SvnServiceImpl - 从SVN服务端获取日志记录...
2018-06-22 09:52:07.915 [main] INFO  com.dcits.patchtools.svn.dao.SvnDao - svn: E180001: Unable to open repository 'file:///E:/SVN_YB/LV/SmartBranch7'
svn: E180001: Unable to connect to a repository at URL 'file:///E:/SVN_YB/LV/SmartBranch7'
svn: E180001: Unable to open repository 'file:///E:/SVN_YB/LV/SmartBranch7'
2018-06-22 09:52:07.916 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成增量清单...
2018-06-22 09:52:07.937 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - nullpatchInfoFile\20180622_0-E_patchInfo.xml
2018-06-22 09:52:07.937 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - 增量清单生成失败！
2018-06-22 09:52:07.938 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成送测清单...
2018-06-22 09:52:07.940 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - nullpatchInfoFile\送测清单_0-E_20180622095207_patchInfo.xlsx
2018-06-22 09:52:08.401 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - 送测清单生成失败！
2018-06-22 10:04:38.190 [main] INFO  c.dcits.patchtools.svn.service.impl.SvnServiceImpl - 从SVN服务端获取日志记录...
2018-06-22 10:04:39.899 [main] INFO  com.dcits.patchtools.svn.dao.SvnDao - 当前抽取增量版本号区间为：v0 - v2
2018-06-22 10:07:08.129 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成增量清单...
2018-06-22 10:07:08.173 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - nullpatchInfoFile\20180622_0-E_patchInfo.xml
2018-06-22 10:07:08.173 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - 增量清单生成失败！
2018-06-22 10:07:08.174 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成送测清单...
2018-06-22 10:07:08.175 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - nullpatchInfoFile\送测清单_0-E_20180622100708_patchInfo.xlsx
2018-06-22 10:07:29.549 [main] INFO  c.dcits.patchtools.svn.service.impl.SvnServiceImpl - 从SVN服务端获取日志记录...
2018-06-22 10:07:31.223 [main] INFO  com.dcits.patchtools.svn.dao.SvnDao - 当前抽取增量版本号区间为：v0 - v2
2018-06-22 10:12:31.164 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成增量清单...
2018-06-22 10:35:44.060 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - nullpatchInfoFile\20180622_0-E_patchInfo.xml
2018-06-22 10:35:44.062 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - 增量清单生成失败！
2018-06-22 10:35:44.065 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成送测清单...
2018-06-22 10:35:44.068 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - nullpatchInfoFile\送测清单_0-E_20180622103544_patchInfo.xlsx
2018-06-22 11:25:58.926 [main] INFO  com.dcits.patchtools.svn.TestBase - [SmartTeller9\tran\function\4D.jar]
2018-06-22 11:27:23.666 [main] INFO  com.dcits.patchtools.svn.TestBase - [SmartTeller9\tran\function\4D.jar]
2018-06-22 11:27:23.685 [main] INFO  com.dcits.patchtools.svn.TestBase - [SmartTeller9\tran\function\4D.jar]
